-9.4812,7.5851,1.6030,0.0042,-0.0031
-7.8600,7.4050,2.0906,-0.0106,-0.0399
-5.9814,7.4544,1.0223,-0.0625,-0.0295
-3.2055,7.4284,2.1966,-0.0215,0.0546
-1.0457,6.8370,1.2394,-0.0451,0.0274
0.6673,6.9955,2.0785,-0.0419,0.0208
2.0136,7.1070,1.2288,-0.1844,0.1058
3.8208,7.8776,1.9260,-0.0278,0.0730
5.1320,9.8231,0.9208,0.0008,-0.0446
7.1052,9.1497,1.4828,0.1614,-0.0618
5.0704,6.4901,-0.5246,-0.0004,-0.0605
8.1317,7.1097,-1.0839,-0.1884,-0.0018
9.7357,8.7549,1.7211,0.0665,-0.0868
10.7972,7.4738,-1.0483,-0.0773,-0.1246
-8.1864,18.6301,0.9244,0.1062,0.0476
-12.0098,22.0554,2.6319,0.0872,-0.0239
-9.7248,26.2404,1.0257,0.0392,0.0053
-6.7404,21.7589,1.5018,-0.1027,0.0314
-7.4942,29.4694,-3.0589,0.0436,0.0679
-4.9621,27.2015,0.2228,0.0677,-0.1580
2.8419,28.7245,1.9248,0.0797,-0.0027
14.1856,26.2568,2.7741,0.0565,-0.6731
14.2936,23.1031,2.9499,0.0611,-0.5548
14.3952,19.2662,2.6458,0.0946,-0.8208
14.6820,17.3756,2.9689,0.0762,-0.6167
11.8312,28.0661,2.4377,0.0631,-0.5102
13.2855,14.6995,2.6655,-0.0105,-0.4854
15.1542,15.8420,2.6075,0.0533,-0.6484
15.1101,12.2789,2.7952,0.0663,-0.5915
14.3610,10.7781,2.9282,0.1399,-0.5553
14.9518,9.2470,3.0297,0.0911,-0.6182
15.1497,7.7224,2.8646,0.0003,-0.7369
15.4963,5.8980,3.0140,-0.0867,-0.6303
-6.7491,-4.3528,2.7859,-0.0104,-0.2194
-5.9650,-4.5399,-0.1012,-0.0204,-0.0820
13.6975,17.4920,2.3254,0.0718,-0.5417
